PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare
1;0;3;male;22;1;0;7.25
2;1;1;female;38;1;0;712.833
3;1;3;female;26;0;0;7.925
4;1;1;female;35;1;0;53.1
5;0;3;male;35;0;0;8.05
7;0;1;male;54;0;0;518.625
8;0;3;male;2;3;1;21.075
9;1;3;female;27;0;2;111.333
10;1;2;female;14;1;0;300.708
11;1;3;female;4;1;1;16.7
12;1;1;female;58;0;0;26.55
13;0;3;male;20;0;0;8.05
14;0;3;male;39;1;5;31.275
15;0;3;female;14;0;0;78.542
16;1;2;female;55;0;0;16
17;0;3;male;2;4;1;29.125
19;0;3;female;31;1;0;18
21;0;2;male;35;0;0;26
22;1;2;male;34;0;0;13
23;1;3;female;15;0;0;80.292
24;1;1;male;28;0;0;35.5
25;0;3;female;8;3;1;21.075
26;1;3;female;38;1;5;313.875
28;0;1;male;19;3;2;263
31;0;1;male;40;0;0;277.208
34;0;2;male;66;0;0;10.5
35;0;1;male;28;1;0;821.708
36;0;1;male;42;1;0;52
38;0;3;male;21;0;0;8.05
39;0;3;female;18;2;0;18
40;1;3;female;14;1;0;112.417
41;0;3;female;40;1;0;9.475
42;0;2;female;27;1;0;21
44;1;2;female;3;1;2;415.792
45;1;3;female;19;0;0;78.792
50;0;3;female;18;1;0;17.8
51;0;3;male;7;4;1;396.875
52;0;3;male;21;0;0;7.8
53;1;1;female;49;1;0;767.292
54;1;2;female;29;1;0;26
55;0;1;male;65;0;1;619.792
57;1;2;female;21;0;0;10.5
58;0;3;male;28.5;0;0;72.292
59;1;2;female;5;1;2;27.75
60;0;3;male;11;5;2;46.9
61;0;3;male;22;0;0;72.292
62;1;1;female;38;0;0;80
63;0;1;male;45;1;0;83.475
64;0;3;male;4;3;2;27.9
67;1;2;female;29;0;0;10.5
68;0;3;male;19;0;0;81.583
69;1;3;female;17;4;2;7.925
70;0;3;male;26;2;0;86.625
71;0;2;male;32;0;0;10.5
72;0;3;female;16;5;2;46.9
73;0;2;male;21;0;0;73.5
74;0;3;male;26;1;0;144.542
75;1;3;male;32;0;0;564.958
76;0;3;male;25;0;0;7.65
79;1;2;male;0.83;0;2;29
80;1;3;female;30;0;0;12.475
81;0;3;male;22;0;0;9
82;1;3;male;29;0;0;9.5
84;0;1;male;28;0;0;47.1
85;1;2;female;17;0;0;10.5
86;1;3;female;33;3;0;15.85
87;0;3;male;16;1;3;34.375
89;1;1;female;23;3;2;263
90;0;3;male;24;0;0;8.05
91;0;3;male;29;0;0;8.05
92;0;3;male;20;0;0;78.542
93;0;1;male;46;1;0;61.175
94;0;3;male;26;1;2;20.575
95;0;3;male;59;0;0;7.25
97;0;1;male;71;0;0;346.542
98;1;1;male;23;0;1;633.583
99;1;2;female;34;0;1;23
100;0;2;male;34;1;0;26
101;0;3;female;28;0;0;78.958
103;0;1;male;21;0;1;772.875
104;0;3;male;33;0;0;86.542
105;0;3;male;37;2;0;7.925
106;0;3;male;28;0;0;78.958
107;1;3;female;21;0;0;7.65
109;0;3;male;38;0;0;78.958
111;0;1;male;47;0;0;52
112;0;3;female;14.5;1;0;144.542
113;0;3;male;22;0;0;8.05
114;0;3;female;20;1;0;9.825
115;0;3;female;17;0;0;144.583
116;0;3;male;21;0;0;7.925
117;0;3;male;70.5;0;0;7.75
118;0;2;male;29;1;0;21
119;0;1;male;24;0;1;2.475.208
120;0;3;female;2;4;2;31.275
121;0;2;male;21;2;0;73.5
123;0;2;male;32.5;1;0;300.708
124;1;2;female;32.5;0;0;13
125;0;1;male;54;0;1;772.875
126;1;3;male;12;1;0;112.417
128;1;3;male;24;0;0;71.417
130;0;3;male;45;0;0;6.975
131;0;3;male;33;0;0;78.958
132;0;3;male;20;0;0;7.05
133;0;3;female;47;1;0;14.5
134;1;2;female;29;1;0;26
135;0;2;male;25;0;0;13
136;0;2;male;23;0;0;150.458
137;1;1;female;19;0;2;262.833
138;0;1;male;37;1;0;53.1
139;0;3;male;16;0;0;92.167
140;0;1;male;24;0;0;79.2
142;1;3;female;22;0;0;7.75
143;1;3;female;24;1;0;15.85
144;0;3;male;19;0;0;6.75
145;0;2;male;18;0;0;11.5
146;0;2;male;19;1;1;36.75
147;1;3;male;27;0;0;77.958
148;0;3;female;9;2;2;34.375
149;0;2;male;36.5;0;2;26
150;0;2;male;42;0;0;13
151;0;2;male;51;0;0;12.525
152;1;1;female;22;1;0;66.6
153;0;3;male;55.5;0;0;8.05
154;0;3;male;40.5;0;2;14.5
156;0;1;male;51;0;1;613.792
157;1;3;female;16;0;0;77.333
158;0;3;male;30;0;0;8.05
161;0;3;male;44;0;1;16.1
162;1;2;female;40;0;0;15.75
163;0;3;male;26;0;0;7.775
164;0;3;male;17;0;0;86.625
165;0;3;male;1;4;1;396.875
166;1;3;male;9;0;2;20.525
168;0;3;female;45;1;4;27.9
170;0;3;male;28;0;0;564.958
171;0;1;male;61;0;0;33.5
172;0;3;male;4;4;1;29.125
173;1;3;female;1;1;1;111.333
174;0;3;male;21;0;0;7.925
175;0;1;male;56;0;0;306.958
176;0;3;male;18;1;1;78.542
178;0;1;female;50;0;0;287.125
179;0;2;male;30;0;0;13
